Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e210-il-500000
Airfoil,e210-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,112.971
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-e210-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
1.500,0.7097,0.00895,0.00286,-0.1236,0.5583,0.6791
1.750,0.7366,0.00903,0.00295,-0.1234,0.5525,0.6948
2.000,0.7634,0.00906,0.00304,-0.1232,0.5466,0.7127
2.250,0.7898,0.00910,0.00314,-0.1229,0.5405,0.7327
2.500,0.8161,0.00918,0.00325,-0.1225,0.5351,0.7571
2.750,0.8417,0.00917,0.00337,-0.1220,0.5292,0.7859
3.000,0.8663,0.00920,0.00348,-0.1213,0.5236,0.8209
3.250,0.8889,0.00921,0.00360,-0.1201,0.5183,0.8657
3.500,0.9093,0.00909,0.00366,-0.1182,0.5127,0.9452
3.750,0.9413,0.00923,0.00374,-0.1192,0.5068,1.0000
4.000,0.9684,0.00934,0.00387,-0.1192,0.5009,1.0000
4.250,0.9951,0.00947,0.00399,-0.1190,0.4947,1.0000
4.500,1.0215,0.00965,0.00412,-0.1189,0.4884,1.0000
4.750,1.0475,0.00975,0.00425,-0.1186,0.4813,1.0000
5.000,1.0732,0.00995,0.00439,-0.1183,0.4747,1.0000
5.250,1.0991,0.01004,0.00454,-0.1179,0.4676,1.0000
5.500,1.1242,0.01023,0.00469,-0.1175,0.4607,1.0000
5.750,1.1497,0.01035,0.00485,-0.1171,0.4534,1.0000
6.000,1.1741,0.01055,0.00502,-0.1166,0.4458,1.0000
6.250,1.1991,0.01068,0.00521,-0.1161,0.4379,1.0000
6.750,1.2472,0.01104,0.00559,-0.1148,0.4211,1.0000
7.000,1.2704,0.01125,0.00580,-0.1140,0.4124,1.0000
7.250,1.2935,0.01145,0.00601,-0.1132,0.4027,1.0000
7.500,1.3164,0.01166,0.00625,-0.1124,0.3928,1.0000
7.750,1.3379,0.01191,0.00650,-0.1113,0.3817,1.0000
8.000,1.3583,0.01219,0.00677,-0.1100,0.3694,1.0000
8.250,1.3777,0.01247,0.00705,-0.1086,0.3558,1.0000
8.500,1.3955,0.01281,0.00737,-0.1068,0.3403,1.0000
8.750,1.4129,0.01318,0.00773,-0.1050,0.3235,1.0000
9.000,1.4290,0.01362,0.00813,-0.1031,0.3037,1.0000
9.250,1.4415,0.01422,0.00863,-0.1006,0.2799,1.0000
9.500,1.4518,0.01496,0.00924,-0.0978,0.2516,1.0000
9.750,1.4588,0.01587,0.00999,-0.0946,0.2199,1.0000
10.000,1.4638,0.01692,0.01086,-0.0912,0.1896,1.0000
10.250,1.4683,0.01801,0.01182,-0.0879,0.1635,1.0000
10.500,1.4724,0.01914,0.01283,-0.0846,0.1408,1.0000
10.750,1.4777,0.02025,0.01386,-0.0817,0.1229,1.0000
11.000,1.4832,0.02138,0.01494,-0.0789,0.1082,1.0000
11.250,1.4882,0.02259,0.01612,-0.0763,0.0956,1.0000
11.500,1.4921,0.02392,0.01742,-0.0737,0.0845,1.0000
11.750,1.4950,0.02540,0.01888,-0.0713,0.0746,1.0000
12.000,1.4994,0.02686,0.02036,-0.0692,0.0664,1.0000
12.250,1.5023,0.02850,0.02202,-0.0671,0.0586,1.0000
12.500,1.5032,0.03042,0.02394,-0.0652,0.0523,1.0000
12.750,1.5069,0.03221,0.02578,-0.0637,0.0469,1.0000
13.000,1.5071,0.03440,0.02799,-0.0622,0.0415,1.0000
13.250,1.5081,0.03665,0.03027,-0.0610,0.0368,1.0000
13.500,1.5081,0.03910,0.03277,-0.0599,0.0326,1.0000
13.750,1.5063,0.04183,0.03553,-0.0591,0.0285,1.0000
14.000,1.5046,0.04469,0.03846,-0.0584,0.0245,1.0000
14.250,1.4988,0.04811,0.04191,-0.0579,0.0207,1.0000
14.500,1.4948,0.05144,0.04532,-0.0576,0.0180,1.0000
14.750,1.4879,0.05527,0.04922,-0.0575,0.0160,1.0000
15.000,1.4845,0.05878,0.05281,-0.0575,0.0144,1.0000
15.250,1.4759,0.06306,0.05717,-0.0578,0.0131,1.0000
15.500,1.4701,0.06713,0.06135,-0.0583,0.0124,1.0000
15.750,1.4668,0.07096,0.06528,-0.0589,0.0117,1.0000
16.000,1.4626,0.07498,0.06941,-0.0596,0.0111,1.0000
16.250,1.4576,0.07922,0.07374,-0.0605,0.0106,1.0000
16.500,1.4495,0.08404,0.07865,-0.0617,0.0102,1.0000
